timestamp,util
-20.0,
-19.8,
-19.599,
-19.399,
-19.198,
-19.023,
-18.998,
-18.822,
-18.798000000000002,
-18.622,
-18.597,
-18.421,
-18.397,
-18.221,
-18.197,
-18.02,
-17.996,
-17.82,
-17.796,
-17.619,
-17.596,
-17.419,
-17.395,
-17.218,
-17.195,
-17.018,
-16.994,
-16.818,
-16.794,
-16.617,
-16.594,
-16.417,
-16.393,
-16.216,
-16.193,0.0
-16.016,
-15.993,0.0
-15.815000000000001,
-15.792,0.0
-15.615,
-15.591999999999999,0.0
-15.415,
-15.392,0.0
-15.214,0.0
-15.190999999999999,0.0
-15.014,0.0
-14.991,0.0
-14.814,0.0
-14.79,0.0
-14.613,0.0
-14.59,0.0
-14.413,0.0
-14.39,0.0
-14.212,0.0
-14.189,0.0
-14.012,0.0
-13.989,0.0
-13.812000000000001,0.0
-13.789,0.0
-13.611,0.0
-13.588000000000001,0.0
-13.411,0.0
-13.388,0.0
-13.21,0.0
-13.187999999999999,0.0
-13.01,0.0
-12.987,0.0
-12.809000000000001,0.0
-12.786999999999999,0.0
-12.609,0.0
-12.587,0.0
-12.408999999999999,0.0
-12.386,0.0
-12.208,0.0
-12.186,0.0
-12.008,0.0
-11.985,0.0
-11.807,0.0
-11.785,0.5
-11.607,0.0
-11.585,0.5
-11.406,0.0
-11.384,0.5
-11.206,0.0
-11.184,0.5
-11.006,0.0
-10.984,0.5
-10.805,0.0
-10.783,0.5
-10.605,0.0
-10.583,0.5
-10.404,0.0
-10.383,0.5
-10.204,0.0
-10.182,0.5
-10.003,0.0
-9.982,0.5
-9.803,0.0
-9.782,0.5
-9.602,0.0
-9.581,0.5
-9.402,0.0
-9.381,0.5
-9.202,0.0
-9.18,0.5
-9.001,0.0
-8.98,0.5
-8.801,0.12
-8.78,0.62
-8.6,0.12
-8.579,0.62
-8.4,0.12
-8.379,0.62
-8.199,0.12
-8.179,0.62
-7.9990000000000006,0.12
-7.978,0.62
-7.7989999999999995,0.12
-7.7780000000000005,0.12
-7.598000000000001,0.12
-7.577999999999999,0.12
-7.398,0.12
-7.377000000000001,0.12
-7.196999999999999,0.12
-7.177,0.12
-6.997,0.12
-6.977,0.12
-6.795999999999999,0.12
-6.776,0.12
-6.596,0.12
-6.5760000000000005,0.12
-6.396000000000001,0.12
-6.375,0.12
-6.195,0.12
-6.175000000000001,0.12
-5.994999999999999,0.12
-5.975,0.12
-5.7940000000000005,0.12
-5.773999999999999,0.12
-5.593999999999999,0.12
-5.574,0.12
-5.394,0.12
-5.3740000000000006,0.12
-5.193,0.12
-5.173,0.12
-4.993,0.12
-4.973000000000001,0.12
-4.792,0.0
-4.773,0.0
-4.5920000000000005,0.0
-4.571999999999999,0.0
-4.3919999999999995,0.0
-4.372,0.0
-4.191000000000001,0.0
-4.170999999999999,0.0
-3.9909999999999997,1.25
-3.971,0.0
-3.789999999999999,2.5
-3.771000000000001,0.0
-3.5889999999999986,5.625
-3.5700000000000003,0.0
-3.3889999999999993,6.875
-3.370000000000001,0.0
-3.187999999999999,8.0
-3.1700000000000017,0.0
-2.9869999999999983,9.155
