timestamp,util
-4.189,0.0
-3.989,0.0
-3.7889999999999997,0.0
-3.588,0.0
-3.388,0.0
-3.1879999999999997,0.0
-2.987,0.0
-2.787,0.0
-2.5869999999999997,0.0
-2.386,0.0
-2.186,0.0
-1.9849999999999994,0.0
-1.7850000000000001,0.3333333333333333
-1.5850000000000009,0.3333333333333333
-1.3840000000000003,0.3333333333333333
-1.1839999999999993,0.3333333333333333
-0.984,0.3333333333333333
-0.7829999999999995,0.3333333333333333
-0.5830000000000002,0.3333333333333333
-0.3829999999999991,0.3333333333333333
-0.18200000000000038,0.3333333333333333
0.018000000000000682,0.3333333333333333
0.21799999999999997,0.3333333333333333
0.4190000000000005,0.3333333333333333
0.6189999999999998,0.3333333333333333
0.8200000000000003,0.3333333333333333
1.0199999999999996,0.3333333333333333
1.2200000000000006,0.41333333333333333
1.4209999999999994,0.41333333333333333
1.6210000000000004,0.41333333333333333
1.8209999999999997,0.41333333333333333
2.0220000000000002,0.41333333333333333
2.2219999999999995,0.41333333333333333
2.4220000000000006,0.41333333333333333
2.6229999999999993,0.41333333333333333
2.8230000000000004,0.41333333333333333
3.0229999999999997,0.41333333333333333
3.224,0.41333333333333333
3.4239999999999995,0.41333333333333333
3.625,0.41333333333333333
3.8249999999999993,0.41333333333333333
4.025,0.41333333333333333
4.226000000000001,0.08
4.426,0.08
4.6259999999999994,0.08
4.827,0.08
5.026999999999999,0.08
5.227,0.08
5.428000000000001,0.08
5.628,0.08
5.829000000000001,0.08
6.029,0.08
6.228999999999999,0.08
6.43,0.08
6.629999999999999,0.08
6.829999999999998,0.08
7.030999999999999,0.08
7.231000000000002,0.0
7.431000000000001,0.0
7.6320000000000014,0.8333333333333334
7.832000000000001,1.6666666666666667
8.033000000000001,2.5
8.234000000000002,3.8333333333333335
8.434000000000001,4.666666666666667
8.635000000000002,5.5
8.835,6.333333333333333
9.036000000000001,6.333333333333333
9.236,6.333333333333333
9.437000000000001,6.333333333333333
9.637,6.333333333333333
9.837,6.333333333333333
10.038,6.333333333333333
10.238,6.333333333333333
10.437999999999999,6.333333333333333
10.639,6.333333333333333
10.838999999999999,6.333333333333333
11.039000000000001,6.333333333333333
11.239999999999998,7.166666666666667
11.440000000000001,8.0
11.640999999999998,10.846666666666666
11.841999999999999,11.68
12.043,14.67
12.248999999999999,15.753333333333334
12.449000000000002,17.836666666666666
12.649999999999999,19.086666666666666
12.850999999999999,19.086666666666666
13.050999999999998,19.086666666666666
13.251999999999999,19.836666666666666
13.452000000000002,20.863333333333333
13.657,22.509999999999998
13.857,21.676666666666666
14.058,20.84333333333333
14.258,20.34333333333333
14.459,21.583333333333332
14.66,22.033333333333335
14.864999999999998,22.033333333333335
15.065999999999999,24.796666666666667
15.267,24.796666666666667
15.466999999999999,24.796666666666667
15.667000000000002,25.223333333333336
15.867999999999999,26.05666666666667
16.069,28.82
16.27,29.59
16.471,31.866666666666667
16.674,32.89333333333334
16.874,33.72666666666667
17.075,36.89333333333333
17.276,36.830000000000005
17.476,38.27333333333333
17.678,37.01
17.878,37.01
18.079,37.01
18.28,36.82
18.481,36.2
18.682,37.28333333333333
18.882,38.11666666666667
19.083,41.28
19.284,41.36333333333334
19.485,42.58666666666667
19.686,41.32666666666667
19.887,41.32666666666667
20.087,41.32666666666667
20.288,40.49333333333333
20.488,38.419999999999995
20.688,37.66333333333333
20.892,37.66333333333333
21.093,37.81666666666667
21.294,37.81666666666667
21.494,37.81666666666667
21.695,37.973333333333336
21.895,37.973333333333336
22.095999999999997,38.14666666666667
22.296999999999997,38.21000000000001
22.497,38.239999999999995
22.698,38.46333333333333
22.899,37.629999999999995
23.098999999999997,34.46333333333333
23.299999999999997,33.693333333333335
23.5,31.416666666666668
23.700000000000003,29.833333333333332
23.901000000000003,29.0
24.101,26.01
24.302,25.95
24.502000000000002,25.903333333333332
24.707,26.07
24.908,26.07
25.109,25.753333333333334
25.310000000000002,24.92
25.511000000000003,22.67
25.711,21.45
25.911,21.45
26.112000000000002,21.45
26.311999999999998,22.283333333333335
26.512999999999998,25.046666666666667
26.717,25.630000000000003
26.918,25.630000000000003
27.119999999999997,25.533333333333335
27.322000000000003,26.42666666666667
27.522,29.31
27.725,29.866666666666667
27.924999999999997,29.886666666666663
28.127000000000002,29.7
28.328000000000003,28.866666666666667
28.528,26.56
28.729,25.31
28.929000000000002,25.31
29.128999999999998,25.31
29.33,26.14333333333333
29.531,28.53666666666667
29.731,30.203333333333333
29.932000000000002,31.03666666666667
30.133000000000003,33.78666666666667
30.335,32.95333333333333
30.534999999999997,31.53666666666667
30.735,29.03666666666667
30.936,28.203333333333333
31.136000000000003,25.35666666666667
31.336,26.23
31.540999999999997,29.05
31.743000000000002,30.19
31.942999999999998,31.13
32.146,33.89333333333333
32.347,33.059999999999995
32.547,30.29666666666667
32.748,30.019999999999996
32.952,30.35333333333333
33.154,30.29666666666667
33.355,30.236666666666668
33.558,30.52
33.759,30.436666666666667
33.959,30.75
34.165,30.6
34.366,31.433333333333334
34.567,34.60333333333334
34.773,34.60333333333334
34.974,34.60333333333334
