Timestamp,CPU_Utilization(%)
2025-03-28 16:28:47.868,100.0
2025-03-28 16:28:48.069,100.0
2025-03-28 16:28:48.269,97.5
2025-03-28 16:28:48.470,95.0
2025-03-28 16:28:48.671,100.0
2025-03-28 16:28:48.879,100.0
2025-03-28 16:28:49.080,75.0
2025-03-28 16:28:49.280,85.0
2025-03-28 16:28:49.480,75.0
2025-03-28 16:28:49.681,75.0
2025-03-28 16:28:49.881,79.5
2025-03-28 16:28:50.082,100.0
2025-03-28 16:28:50.283,94.9
2025-03-28 16:28:50.483,80.0
2025-03-28 16:28:50.684,75.0
2025-03-28 16:28:50.884,75.0
2025-03-28 16:28:51.085,75.0
2025-03-28 16:28:51.285,75.0
2025-03-28 16:28:51.485,75.0
2025-03-28 16:28:51.686,75.0
2025-03-28 16:28:51.886,75.6
2025-03-28 16:28:52.087,75.0
2025-03-28 16:28:52.287,75.0
2025-03-28 16:28:52.487,7.7
2025-03-28 16:28:52.688,0.0
2025-03-28 16:28:52.888,9.5
2025-03-28 16:28:53.091,25.0
2025-03-28 16:28:53.292,92.9
2025-03-28 16:28:53.493,0.0
2025-03-28 16:28:53.693,0.0
2025-03-28 16:28:53.893,5.3
2025-03-28 16:28:54.094,26.8
2025-03-28 16:28:54.295,89.7
2025-03-28 16:28:54.496,0.0
2025-03-28 16:28:54.696,0.0
2025-03-28 16:28:54.896,5.3
2025-03-28 16:28:55.097,25.0
2025-03-28 16:28:55.298,87.5
2025-03-28 16:28:55.499,0.0
2025-03-28 16:28:55.699,0.0
2025-03-28 16:28:55.899,7.5
2025-03-28 16:28:56.100,25.0
2025-03-28 16:28:56.301,85.0
2025-03-28 16:28:56.501,0.0
2025-03-28 16:28:56.702,0.0
2025-03-28 16:28:56.902,0.0
2025-03-28 16:28:57.102,0.0
2025-03-28 16:28:57.303,0.0
2025-03-28 16:28:57.503,0.0
2025-03-28 16:28:57.703,0.0
2025-03-28 16:28:57.904,0.0
2025-03-28 16:28:58.104,0.0
2025-03-28 16:28:58.304,0.0
2025-03-28 16:28:58.504,23.1
2025-03-28 16:28:58.706,59.0
2025-03-28 16:28:58.907,43.6
2025-03-28 16:28:59.107,0.0
2025-03-28 16:28:59.308,0.0
2025-03-28 16:28:59.508,0.0
2025-03-28 16:28:59.708,0.0
2025-03-28 16:28:59.909,0.0
2025-03-28 16:29:00.109,0.0
2025-03-28 16:29:00.309,0.0
2025-03-28 16:29:00.510,0.0
2025-03-28 16:29:00.710,0.0
2025-03-28 16:29:00.911,0.0
2025-03-28 16:29:01.111,0.0
2025-03-28 16:29:01.311,0.0
2025-03-28 16:29:01.512,0.0
2025-03-28 16:29:01.712,0.0
2025-03-28 16:29:01.913,10.0
2025-03-28 16:29:02.114,25.0
2025-03-28 16:29:02.315,87.2
2025-03-28 16:29:02.516,0.0
2025-03-28 16:29:02.716,0.0
2025-03-28 16:29:02.917,0.0
2025-03-28 16:29:03.117,0.0
2025-03-28 16:29:03.317,0.0
2025-03-28 16:29:03.518,0.0
2025-03-28 16:29:03.718,0.0
2025-03-28 16:29:03.918,0.0
2025-03-28 16:29:04.119,0.0
2025-03-28 16:29:04.319,0.0
