timestamp,util
1.486,
1.687,
1.887,
2.088,
2.288,
2.489,
2.689,
2.89,
3.09,
3.291,2.5
3.491,5.0
3.692,9.0
3.893,11.309999999999999
4.094,13.809999999999999
4.294,16.31
4.495,18.81
4.695,18.81
4.896,18.81
5.096,18.81
5.297,16.31
5.497,13.809999999999999
5.698,9.809999999999999
5.898,7.5
6.098,5.0
6.299,2.5
6.499,0.24
6.699,0.48
6.9,2.79
7.1,5.290000000000001
7.301,14.790000000000001
7.502,17.29
7.703,26.07
7.904,28.380000000000003
8.104,36.92
8.305,40.34
8.506,42.60000000000001
8.707,50.82
8.907,48.510000000000005
9.108,46.010000000000005
9.308,38.46
9.509,38.46
9.71,37.730000000000004
9.911,35.42
10.112,26.879999999999995
10.312,23.459999999999997
10.512,20.959999999999997
10.713,12.5
10.913,15.0
11.114,23.0
11.315,24.71
11.516,24.89
11.721,22.94
11.921,22.94
12.122,22.94
12.322,22.94
12.522,22.94
12.723,22.94
12.923,22.94
13.124,23.44
13.326,22.03
13.526,21.85
13.727,24.75
13.929,24.75
14.129,24.75
14.33,24.75
14.53,24.75
14.73,24.75
14.931,22.25
15.131,13.75
15.331,15.65
15.536,20.05
15.74,21.05
15.941,31.05
16.141,41.05
16.342,50.8
16.543,60.8
16.744,70.8
16.946,80.8
17.147,90.8
17.348,96.65
17.548,99.75
17.751,99.75
17.952,99.75
18.153,99.75
18.354,99.25
18.554,96.75
18.755,94.25
18.955,94.25
19.159,94.25
19.36,93.5
19.561,91.0
19.761,88.5
19.962,86.0
20.162,83.5
20.362,81.75
20.563,81.75
20.763,81.81
20.964,81.81
21.164,81.81
21.365,82.06
21.566,82.06
21.767,82.06
21.971,84.56
22.172,87.06
22.373,88.06
22.574,88.06
22.774,88.0
22.975,85.5
23.175,83.05999999999999
23.376,83.32
23.576,85.57
23.778,88.07
23.979,85.57
24.179,83.13
24.38,82.13
24.58,82.13
24.78,82.13
24.981,81.95
25.181,81.89000000000001
25.382,79.63000000000001
25.582,77.38000000000001
25.783,74.88000000000001
25.983,74.88000000000001
26.183,74.82000000000001
26.384,74.82000000000001
26.584,74.82000000000001
26.784,74.82000000000001
26.985,75.0
27.185,75.0
27.386,75.0
27.586,75.0
27.787,75.05999999999999
27.988,75.05999999999999
28.188,75.05999999999999
28.388,76.34
28.591,78.6
28.793,81.1
28.994,81.1
29.194,81.1
29.396,83.10999999999999
29.596,85.35999999999999
29.798,87.8
29.998,87.8
30.199,87.8
30.399,89.02
30.604,89.25999999999999
30.805,89.25999999999999
31.006,91.75999999999999
31.206,94.00999999999999
31.407,94.0
31.608,94.25
31.816,94.25
32.017,94.25
32.217,95.25
32.417,92.75
32.618,90.25
32.818,88.2
33.019,88.2
33.22,87.94000000000001
33.42,86.44000000000001
33.621,83.94000000000001
33.821,81.44000000000001
34.022,81.44000000000001
34.222,80.44000000000001
34.422,80.44000000000001
34.623,80.44000000000001
34.823,80.05
35.024,77.55
35.224,75.55999999999999
35.424,68.33
35.625,60.83
35.825,54.279999999999994
36.028,49.28
36.229,51.07
36.43,43.57
36.63,36.07
36.83,29.040000000000003
37.031,24.220000000000002
37.232,25.689999999999998
37.433,24.92
37.633,24.92
37.833,24.500000000000004
38.034,24.500000000000004
38.235,23.96
38.436,23.96
38.636,23.96
38.836,24.18
39.037,24.0
39.238,23.53
39.438,23.53
39.639,23.53
39.839,23.0
40.039,20.5
40.24,11.75
40.44,11.75
40.64,11.75
40.841,11.0
41.041,8.5
41.241,0.0
41.441,2.31
41.643,8.209999999999999
41.844,12.57
42.044,12.57
42.245,12.57
42.445,12.57
42.645,12.57
42.846,12.57
43.046,12.57
43.246,12.57
43.447,10.26
43.647,4.36
43.848,0.0
44.048,0.0
44.248,0.0
44.449,0.0
44.649,0.0
44.85,1.0
45.051,3.5
45.252,12.22
45.453,12.22
45.653,12.22
45.854,12.22
46.054,12.22
46.254,12.22
46.455,12.22
46.655,12.22
46.855,11.22
47.056,8.72
47.256,0.0
